X, Y, Z
-0.919608, 1.835499, 52.917854
-0.927109, 1.834119, 52.918018
-0.929808, 1.834339, 52.927368
-0.936088, 1.838060, 52.939930
-0.944128, 1.847621, 52.965050
-0.949588, 1.845822, 52.974438
-0.965847, 1.846921, 52.989716
-0.986307, 1.846481, 52.997826
-0.996588, 1.851303, 53.000332
-0.999347, 1.855643, 53.015911
-1.007347, 1.854543, 53.032120
-1.024689, 1.854544, 53.043839
-1.029769, 1.860564, 53.053890
-1.040768, 1.862724, 53.068050
-1.052367, 1.867742, 53.077465
-1.063026, 1.871222, 53.085060
-1.072027, 1.878100, 53.090714
-1.080668, 1.883180, 53.102127
-1.086808, 1.889839, 53.106106
-1.099307, 1.898038, 53.121243
-1.105408, 1.906839, 53.130219
-1.113807, 1.907998, 53.140167
-1.127828, 1.923498, 53.140827
-1.125068, 1.931918, 53.149605
-1.131967, 1.927079, 53.170048
-1.140687, 1.936558, 53.178799
-1.155487, 1.940619, 53.187572
-1.169507, 1.945740, 53.182167
-1.182728, 1.951801, 53.193256
-1.193388, 1.947001, 53.195778
-1.204847, 1.949942, 53.210835
-1.212147, 1.955922, 53.222759
-1.223467, 1.961083, 53.236309
-1.235067, 1.961264, 53.245647
-1.244406, 1.962605, 53.261120
-1.253768, 1.964624, 53.275429
-1.267168, 1.963603, 53.289818
-1.277528, 1.971143, 53.304661
-1.284588, 1.973583, 53.319378
-1.287327, 1.977003, 53.326645
-1.292928, 1.977984, 53.325157
-1.308748, 1.974744, 53.329189
-1.317709, 1.972944, 53.331871
-1.328708, 1.973404, 53.334934
-1.342368, 1.965105, 53.338955
-1.350987, 1.957446, 53.350830
-1.360268, 1.958146, 53.356613
-1.369608, 1.960846, 53.364769
-1.375970, 1.985786, 53.372833
-1.382430, 1.987566, 53.377819
-1.396750, 1.987125, 53.377911
-1.410810, 1.989067, 53.388519
-1.423929, 1.990287, 53.400082
-1.434849, 1.986888, 53.407799
-1.449749, 1.990768, 53.411850
-1.455629, 1.999389, 53.421700
-1.472349, 2.000510, 53.427673
-1.490708, 1.996731, 53.434662
-1.491668, 2.000711, 53.438839
-1.498987, 1.998651, 53.445858
-1.513847, 1.998072, 53.457233
-1.523367, 1.987673, 53.457523
-1.528906, 1.990953, 53.457512
-1.543045, 1.990873, 53.462959
-1.552664, 1.979274, 53.466908
-1.564084, 1.969594, 53.470222
-1.575323, 1.965414, 53.470654
-1.589703, 1.967634, 53.480705
-1.602823, 1.964574, 53.488647
-1.618902, 1.968073, 53.492561
-1.633502, 1.973433, 53.502899
-1.653903, 1.971214, 53.505272
-1.660562, 1.971733, 53.507328
-1.665743, 1.975993, 53.518047
-1.672603, 1.958293, 53.519699
-1.682823, 1.958392, 53.524876
-1.693183, 1.957853, 53.523937
-1.704844, 1.959174, 53.533794
-1.714264, 1.963234, 53.535847
-1.723963, 1.973394, 53.543079
-1.737264, 1.972456, 53.552540
-1.751063, 1.972317, 53.562717
-1.757802, 1.971057, 53.573685
-1.764462, 1.973537, 53.577534
-1.770181, 1.974298, 53.589718
-1.779501, 1.972958, 53.590500
-1.788241, 1.974438, 53.594070
-1.797921, 1.966358, 53.599079
-1.805481, 1.963419, 53.612701
